"USGS_Station_Number","P_start","P_end","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","Field_Name","BasinArea_ac","Date","Tmp","P_frozen","area_ft2","P_event_id","Associated_Q","Q_event_count","Q_total_volume_raw","Q_total_volume","Q_event_ids","Shared_Q","Q_total_in_raw","Q_total_in","Monitoring","FarmEnterprise","CropRotation","LandCover","LandCover_Updated","Tile","Tile_Notes","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","Clay_Fraction","Water_Year","Season","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac","PerennialFrac","Crop_Source","Tillage_Passes","Tillage_Window","Residue_Frac","Residue"
"USGS-451021089064901",2018-10-01 18:49:00,2018-10-02 04:00:00,1.38,9.183,0.1503,1.68,1.02,0.8,0.6,0.57,976.2,5.857,1024,6.141,0,0,0,0,"AO1",22.2,2018-10-01,6.34000015258789,FALSE,967032,1,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-03 11:04:00,2018-10-03 11:05:00,0.02,,,,,,,,,,,,0.01,1.41,1.41,1.41,"AO1",22.2,2018-10-03,9.41000080108643,FALSE,967032,2,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-04 01:04:00,2018-10-04 03:15:00,0.69,2.183,0.316,2.16,2.04,1.48,1.02,0.52,624.9,6.374,612.2,6.244,0.03,0.13,1.44,1.44,"AO1",22.2,2018-10-04,12.4700002670288,FALSE,967032,3,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-05 10:54:00,2018-10-05 12:40:00,0.07,1.767,0.03962,0.24,0.18,0.12,0.1,0.06,35.9,0.0359,39.53,0.03953,0,0.72,2.13,2.13,"AO1",22.2,2018-10-05,5.67000007629395,FALSE,967032,4,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-08 02:54:00,2018-10-08 15:20:00,0.86,12.43,0.06917,0.96,0.54,0.4,0.26,0.19,478.1,1.243,535,1.391,0,0.01,2.23,2.23,"AO1",22.2,2018-10-08,6.09000015258789,FALSE,967032,5,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-08 17:34:00,2018-10-08 17:55:00,0.02,0.35,0.05714,0.12,0.06,0.04,0.04,0.02,12.27,0.00491,12.54,0.005018,0.86,0.86,3.09,3.09,"AO1",22.2,2018-10-08,6.09000015258789,FALSE,967032,6,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-08 23:19:00,2018-10-09 03:05:00,0.19,3.767,0.05044,0.36,0.24,0.28,0.18,0.11,99.35,0.1788,111,0.1998,0.88,0.88,1.88,3.11,"AO1",22.2,2018-10-08,6.09000015258789,FALSE,967032,7,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-09 17:24:00,2018-10-09 18:45:00,0.41,1.35,0.3037,2.16,1.86,1.48,0.8,0.4,414.7,3.318,389.5,3.116,0.23,1.09,1.92,3.32,"AO1",22.2,2018-10-09,11.8100004196167,FALSE,967032,8,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-10 00:34:00,2018-10-10 03:30:00,0.53,2.933,0.1807,2.04,1.44,1.04,0.66,0.35,414.9,2.738,423.6,2.796,0.55,1.5,2.32,3.73,"AO1",22.2,2018-10-10,10.7500009536743,FALSE,967032,9,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-10 07:34:00,2018-10-10 07:40:00,0.02,0.1,0.2,0.12,0.12,0.08,0.04,0.02,13.54,0.005417,14.54,0.005815,0.95,1.85,2.85,4.26,"AO1",22.2,2018-10-10,10.7500009536743,FALSE,967032,10,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","B","Well drained",1.9,12.5,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
