"Analysis","Season","Term","Estimate","Std_Error","Statistic","P_Value"
"Runoff occurrence","Pre-growing season","(Intercept)",-1.15117943789617,0.338643682003719,-3.39938259318694,0.000675381690412251
"Runoff occurrence","Pre-growing season","log_I30",0.513424418741578,0.044993505232705,11.4110784675735,3.68136374593047e-30
"Runoff occurrence","Pre-growing season","log_Dur",0.510225106374316,0.0507121579126973,10.0611988796195,8.19936931253456e-24
"Runoff occurrence","Pre-growing season","log_ARFdays7",0.0965374294518357,0.0436637590130853,2.21092804728299,0.0270408200828463
"Runoff occurrence","Pre-growing season","Tillage_Passes",-0.174074441350485,0.0652936341745047,-2.6660246982922,0.00767540539070914
"Runoff occurrence","Pre-growing season","PerennialFrac",-0.14307299174915,0.0787906438415827,-1.81586270619661,0.0693914353526968
"Runoff occurrence","Pre-growing season","Residue_Frac",-0.0835888574765507,0.0788729685848807,-1.05979093948512,0.289239719703236
"Runoff occurrence","Pre-growing season","MeanSlope_per",-0.405763801198597,0.152247102775788,-2.66516599528438,0.00769503291102091
"Runoff occurrence","Pre-growing season","Hydrologic_GroupModerate-infiltration",-0.0657242798133442,0.388784524818664,-0.16905065818656,0.865756795291922
"Runoff occurrence","Pre-growing season","Hydrologic_GroupHigh-infiltration",-1.11994436253652,0.390604062307387,-2.8672112520304,0.00414106492514929
"Runoff occurrence","Pre-growing season","TileYes",-0.403518466019004,0.387799386167771,-1.04053405036704,0.298091852963221
"Runoff occurrence","Growing season","(Intercept)",-4.35305819739332,0.612595672317586,-7.10592384847371,1.19520305957784e-12
"Runoff occurrence","Growing season","log_I30",2.26303086532974,0.0951781045259305,23.7768011519204,5.8051026315945e-125
"Runoff occurrence","Growing season","log_Dur",0.604267423924824,0.077324195673786,7.81472627887521,5.50825973317725e-15
"Runoff occurrence","Growing season","log_ARFdays7",1.20109387545035,0.0902383510683754,13.310237401615,2.01839377880887e-40
"Runoff occurrence","Growing season","Tillage_Passes",-0.393276345550711,0.0977173256893768,-4.02463271253304,5.70643065032908e-05
"Runoff occurrence","Growing season","PerennialFrac",-0.0511385217685696,0.104737890198237,-0.488252357115273,0.625371103210076
"Runoff occurrence","Growing season","MeanSlope_per",-0.263291212492257,0.263534707567186,-0.99907604172074,0.317757856141543
"Runoff occurrence","Growing season","Hydrologic_GroupModerate-infiltration",0.11297595871014,0.687261227940987,0.164385759180119,0.869427473600231
"Runoff occurrence","Growing season","Hydrologic_GroupHigh-infiltration",-0.164248005518758,0.687776853139753,-0.23881002212993,0.811252898519358
"Runoff occurrence","Growing season","TileYes",-0.362543633401588,0.688627239316405,-0.526472977980775,0.598559622138783
"Runoff occurrence","Post-growing season","(Intercept)",-4.05949463148516,0.769282447223121,-5.27698850550759,1.31324120227921e-07
"Runoff occurrence","Post-growing season","log_I30",1.26295668097825,0.126002956067144,10.0232305685372,1.20498538375217e-23
"Runoff occurrence","Post-growing season","log_Dur",0.58338000791608,0.143070604308872,4.07756723146729,4.55093727736951e-05
"Runoff occurrence","Post-growing season","log_ARFdays7",0.931987320967404,0.146195892510591,6.37492138091286,1.83056832585627e-10
"Runoff occurrence","Post-growing season","Tillage_Passes",0.292111641938856,0.133263580209119,2.19198404755801,0.0283806585250842
"Runoff occurrence","Post-growing season","PerennialFrac",-0.816732886582428,0.210972961814916,-3.87126805044781,0.000108270651975735
"Runoff occurrence","Post-growing season","Residue_Frac",0.716460289877447,0.229363433984292,3.12369010801659,0.00178598448635444
"Runoff occurrence","Post-growing season","MeanSlope_per",-0.429795404720859,0.242350144563347,-1.7734481054065,0.0761544837741059
"Runoff occurrence","Post-growing season","Hydrologic_GroupModerate-infiltration",1.39791880940973,0.769449275665086,1.81677838113684,0.0692510543741552
"Runoff occurrence","Post-growing season","Hydrologic_GroupHigh-infiltration",-0.604888428997757,0.798038776346111,-0.757968718972893,0.448469709431923
"Runoff occurrence","Post-growing season","TileYes",-1.83357510613341,0.709199663057514,-2.58541451955641,0.0097261986675927
"Runoff coefficient","Pre-growing season","(Intercept)",-1.80245713651593,0.404972079261333,-4.4508182880252,
"Runoff coefficient","Pre-growing season","log_I30",0.150825786349327,0.0995984688667954,1.51433840364598,
"Runoff coefficient","Pre-growing season","log_Dur",0.440401319419153,0.0976116248833238,4.51177121521713,
"Runoff coefficient","Pre-growing season","log_ARFdays7",0.249786876902995,0.0915806157787029,2.72750816075079,
"Runoff coefficient","Pre-growing season","Tillage_Passes",0.326936495127273,0.127624887590862,2.5616985942065,
"Runoff coefficient","Pre-growing season","PerennialFrac",0.152436468897294,0.157764533582146,0.966227741027244,
"Runoff coefficient","Pre-growing season","Residue_Frac",-0.300622013546698,0.146623916545308,-2.05029316246509,
"Runoff coefficient","Pre-growing season","MeanSlope_per",-0.0723462950419588,0.155882178737944,-0.464108826471954,
"Runoff coefficient","Pre-growing season","Hydrologic_GroupModerate-infiltration",-0.520262856963222,0.444556841600226,-1.1702954679327,
"Runoff coefficient","Pre-growing season","Hydrologic_GroupHigh-infiltration",-2.38623092493798,0.484410185315665,-4.92605440032809,
"Runoff coefficient","Pre-growing season","TileYes",-0.66809295564463,0.453659581335642,-1.47267462901955,
"Runoff coefficient","Growing season","(Intercept)",-3.44712363290576,0.534406415952449,-6.45037845730596,
"Runoff coefficient","Growing season","log_I30",0.604033170347493,0.0732424291910896,8.24703900483107,
"Runoff coefficient","Growing season","log_Dur",0.628839746798015,0.0710452349821963,8.85125859539489,
"Runoff coefficient","Growing season","log_ARFdays7",0.496700310781754,0.0717279582334135,6.92477972348546,
