"Calendar_Year","Month_Number","Month","Monitored_Sites","Mean_P_Events_per_Site","Mean_Precipitation_mm_per_Site","Mean_Q_Events_per_Site","Mean_Runoff_mm_per_Site"
2003,11,"Nov",3,1,43.7388,1,0.240765063075271
2003,12,"Dec",6,4.5,33.3248,0.166666666666667,0.0166382458895828
2004,1,"Jan",6,0.5,5.3721,0.333333333333333,0.473814378598518
2004,2,"Feb",6,2,13.2588,3.5,30.8532848015957
2004,3,"Mar",6,15,93.1164,4,15.8254106977961
2004,4,"Apr",6,12,33.02,0,0
2004,5,"May",6,24.5,237.4519,7.16666666666667,34.5586370223995
2004,6,"Jun",6,13,122.3391,4.33333333333333,11.4105667697241
2004,7,"Jul",7,11.4285714285714,86.2729142857143,0.285714285714286,0.162961158519271
2004,8,"Aug",7,12.2857142857143,57.7124285714286,0,0
2004,9,"Sep",7,3.42857142857143,21.8331142857143,0,0
2004,10,"Oct",7,9,81.9476571428571,0,0
2004,11,"Nov",7,12.8571428571429,43.2416857142857,0,0
2004,12,"Dec",7,6.71428571428571,36.6522,0.428571428571429,0.94930845260653
2005,1,"Jan",7,4.42857142857143,23.5167714285714,2.57142857142857,10.3953544191418
2005,2,"Feb",7,7,18.3533142857143,4.71428571428571,43.0646365114253
2005,3,"Mar",7,3,11.5896571428571,6.57142857142857,29.2450092006004
2005,4,"Apr",7,8.42857142857143,45.2809428571429,0.142857142857143,0.0167149383029706
2005,5,"May",8,11.875,44.5135,0.125,0.00660973951250131
2005,6,"Jun",8,9.875,71.955025,0.625,0.50768473741349
2005,7,"Jul",8,7.75,60.512325,0.375,0.0218497837988632
2005,8,"Aug",8,8.625,99.837875,0.375,0.679859370305808
2005,9,"Sep",8,9.25,89.671525,0.375,0.137252410204144
2005,10,"Oct",8,6.25,16.0909,0,0
2005,11,"Nov",8,9.875,75.12685,0.5,0.400745217633784
2005,12,"Dec",8,2,6.473825,0,0
2006,1,"Jan",8,5.375,39.157275,0.875,2.20618775598164
2006,2,"Feb",8,1,3.546475,0.5,0.881546873695634
2006,3,"Mar",8,12,47.35195,2.125,13.9154558368706
2006,4,"Apr",8,11.375,118.138575,0.375,1.07981813414968
2006,5,"May",8,18.125,111.432975,2.75,16.3399997461598
2006,6,"Jun",8,11.25,53.863875,0,0
2006,7,"Jul",8,9.125,92.027375,0,0
2006,8,"Aug",8,10.125,54.378225,0.125,0.00200110610234577
2006,9,"Sep",8,12.375,90.21445,0,0
2006,10,"Oct",10,9.3,73.33742,0.3,3.16647015266356
2006,11,"Nov",9,6.33333333333333,41.656,0.222222222222222,2.1122848635209
2006,12,"Dec",9,6.22222222222222,36.5393111111111,0.444444444444444,1.5416210751021
2007,1,"Jan",9,1.66666666666667,1.96708888888889,0,0
2007,2,"Feb",9,0,0,1,0.189588787433029
2007,3,"Mar",9,11.3333333333333,50.6137333333333,3.44444444444444,32.6250487341579
2007,4,"Apr",9,9.44444444444444,64.1688666666667,0.888888888888889,0.515233117667579
2007,5,"May",9,9.55555555555556,43.8545111111111,0,0
2007,6,"Jun",9,9.77777777777778,62.2723333333333,0.111111111111111,0.00452463030704461
2007,7,"Jul",9,10.1111111111111,102.881288888889,0.333333333333333,1.15989854306222
2007,8,"Aug",9,20.2222222222222,175.700266666667,1.33333333333333,2.3305281480256
2007,9,"Sep",9,8.44444444444444,50.5093111111111,0,0
2007,10,"Oct",10,9.7,72.95896,0.5,0.350663086791512
2007,11,"Nov",9,2.33333333333333,3.05928888888889,0,0
2007,12,"Dec",9,4.44444444444444,24.3981111111111,0.222222222222222,0.312422150116681
2008,1,"Jan",9,2.55555555555556,29.8280666666667,1.77777777777778,3.23580134287088
2008,2,"Feb",9,1.11111111111111,14.2070666666667,0.222222222222222,0.790951272426552
2008,3,"Mar",9,4.55555555555556,26.6135555555556,7,22.6645712986813
2008,4,"Apr",9,14.4444444444444,124.273733333333,2.66666666666667,10.8591572080486
2008,5,"May",9,10.2222222222222,63.0766666666667,0.777777777777778,0.0759083285972459
2008,6,"Jun",9,15.3333333333333,187.406844444444,3.88888888888889,52.9176812360811
2008,7,"Jul",9,11.5555555555556,123.054533333333,1.77777777777778,7.15793835194307
2008,8,"Aug",9,5.77777777777778,27.9710444444444,0,0
2008,9,"Sep",9,7.22222222222222,66.8415111111111,0,0
2008,10,"Oct",9,9.88888888888889,40.8432,0,0
2008,11,"Nov",8,8.625,22.158325,0,0
2008,12,"Dec",8,4.875,16.40205,0.375,5.82280194957088
2009,1,"Jan",8,0.375,0.51435,0,0
2009,2,"Feb",8,3.5,16.28775,3.125,28.3559206053928
2009,3,"Mar",8,10,54.6354,4,33.005004843592
2009,4,"Apr",8,11.125,79.219425,0.625,2.51203303912329
2009,5,"May",8,10.125,52.3494,0,0
2009,6,"Jun",8,9.875,69.9262,0.5,0.133627375442415
2009,7,"Jul",8,10,89.296875,0.75,1.92559858933178
2009,8,"Aug",8,16.375,107.2007,0.25,0.110228623726455
2009,9,"Sep",8,7,34.496375,0,0
2009,10,"Oct",8,16.625,104.4829,0.375,0.135418686359064
2009,11,"Nov",7,7.42857142857143,27.2687142857143,0,0
2009,12,"Dec",6,3.5,36.3982,0.5,0.701514797189071
2010,1,"Jan",6,1,13.716,1,8.00708887985632
2010,2,"Feb",6,0,0,0,0
2010,3,"Mar",6,5,13.6017,3.33333333333333,20.3822779381384
2010,4,"Apr",6,13,117.9957,1.16666666666667,4.88793769110563
2010,5,"May",6,8.5,71.2978,0.5,0.595328075008459
2010,6,"Jun",6,19,166.4081,2.5,4.59189360696259
2010,7,"Jul",6,14,160.6169,2,14.8615107054881
2010,8,"Aug",6,6.5,102.8065,1.66666666666667,5.8573819782679
2010,9,"Sep",6,10.5,48.5013,0,0
2010,10,"Oct",9,2,12.0396,0,0
2010,11,"Nov",6,7.5,26.9113,0.666666666666667,0.0654177080706749
2010,12,"Dec",6,1,1.4859,0.5,1.52370551238396
2011,1,"Jan",6,0,0,0,0
2011,2,"Feb",6,0,0,1.5,10.6860399306167
2011,3,"Mar",6,5,48.2727,6,18.5265389703319
2011,4,"Apr",6,16.5,88.9719666666667,4.66666666666667,18.3180738775781
2011,5,"May",6,11.1666666666667,61.5907666666667,0.333333333333333,0.0199319531735428
2011,6,"Jun",6,12.1666666666667,101.367166666667,0.833333333333333,0.298651073094255
2011,7,"Jul",6,11,91.8845,0.166666666666667,0.0829613500272183
2011,8,"Aug",6,6.5,35.8182333333333,0,0
2011,9,"Sep",6,10.8333333333333,85.0730666666667,0.166666666666667,0.0366272963714445
2011,10,"Oct",6,3.33333333333333,17.0772666666667,0,0
2011,11,"Nov",5,4.4,26.7716,0,0
2011,12,"Dec",5,6.2,27.0764,0,0
2012,1,"Jan",5,0.6,0.6604,0.6,0.0904767112253844
2012,2,"Feb",5,0,0,4.2,8.37728569177579
2012,3,"Mar",5,9,37.9984,2.4,18.1193516466642
2012,4,"Apr",5,10.4,97.3836,1,3.0249434388127
2012,5,"May",5,14.2,121.2088,2.2,12.9141412652664
2012,6,"Jun",5,7.4,66.1416,1.8,5.2064228829352
2012,7,"Jul",5,11.2,88.9,1.4,2.05206937027237
2012,8,"Aug",5,7.8,56.7944,0.4,0.162848000628178
2012,9,"Sep",5,8.2,27.5336,0,0
2012,10,"Oct",5,8.8,72.6948,0,0
2012,11,"Nov",5,2.4,23.368,0,0
2012,12,"Dec",5,2.4,10.8204,0,0
2013,1,"Jan",5,3.2,9.2456,0.6,2.9119081453386
2013,2,"Feb",5,2.4,11.3792,0.6,8.97582025441443
2013,3,"Mar",5,4.6,23.876,1.6,57.8610215445863
2013,4,"Apr",5,15.8,100.7364,4.4,43.757528593312
2013,5,"May",5,19.2,154.2288,2,13.6424654625638
2013,6,"Jun",5,20.4,163.1696,3.4,12.6416959151304
2013,7,"Jul",5,8.4,44.6532,0,0
2013,8,"Aug",5,3.4,18.9484,0,0
2013,9,"Sep",5,6.8,46.482,0,0
2013,10,"Oct",5,13,90.2208,0.6,3.53427334422064
2013,11,"Nov",5,4.6,37.6936,0,0
2013,12,"Dec",5,0.6,0.8636,0,0
2014,1,"Jan",5,0,0,0,0
2014,2,"Feb",5,0.6,5.6388,0,0
2014,3,"Mar",5,2,18.2372,3.6,68.5901333888808
2014,4,"Apr",5,18,150.9268,3.6,25.0224840519658
2014,5,"May",5,12.6,87.2236,1.6,15.0026060725211
2014,6,"Jun",5,18.6,287.2232,5.6,79.986785845144
2014,7,"Jul",5,10.4,45.72,0.4,4.21359483573866
2014,8,"Aug",5,12.8,120.8024,0.8,3.18579179224011
2014,9,"Sep",5,12.2,73.1012,1.4,5.94842413753263
2014,10,"Oct",7,5.85714285714286,50.5822857142857,0.142857142857143,0.0167628615260624
2014,11,"Nov",7,7.42857142857143,17.5985714285714,0,0
2014,12,"Dec",7,6.42857142857143,17.8525714285714,0,0
2015,1,"Jan",7,0,0,0,0
2015,2,"Feb",7,0,0,0,0
2015,3,"Mar",7,1.71428571428571,3.15685714285714,2,15.3725425255219
2015,4,"Apr",7,10,68.6888571428571,1.57142857142857,1.80713918045339
2015,5,"May",7,18.8571428571429,106.353428571429,0.571428571428571,1.03863717557669
2015,6,"Jun",7,13.1428571428571,121.593428571429,1,1.02993743023955
