"Analysis","Season","Term","Estimate","Std_Error","Statistic","P_Value"
"Runoff occurrence","Pre-growing season","(Intercept)",-1.09632400450339,0.389633600933253,-2.81373064817168,0.00489702415365697
"Runoff occurrence","Pre-growing season","log_I30",0.861467643106781,0.133934045494746,6.43202883870608,1.25911843000315e-10
"Runoff occurrence","Pre-growing season","log_Dur",0.268242107866363,0.134403543093864,1.99579640306825,0.045956088497171
"Runoff occurrence","Pre-growing season","log_ARFdays7",0.526577030807941,0.118962648925687,4.42640640203701,9.58159289573942e-06
"Runoff occurrence","Pre-growing season","Tillage_Passes",-0.105566241789369,0.129313002956386,-0.816362155203939,0.414293034892459
"Runoff occurrence","Pre-growing season","PerennialFrac",0.19451026861649,0.163812087335098,1.18739875537143,0.235070370712124
"Runoff occurrence","Pre-growing season","Residue_Frac",-0.0545822458873362,0.14935342983475,-0.365456929564511,0.714770351852218
"Runoff occurrence","Pre-growing season","MeanSlope_per",0.0279034859217984,0.145428163816181,0.191871266126058,0.847843045544166
"Runoff occurrence","Pre-growing season","Hydrologic_GroupModerate-infiltration",0.489326837693275,0.423742167978567,1.15477494257316,0.248182600800324
"Runoff occurrence","Pre-growing season","Hydrologic_GroupHigh-infiltration",0.317133737851141,0.42699582976076,0.742709215752357,0.457657749039139
"Runoff occurrence","Pre-growing season","TileYes",-0.513115129627819,0.422850200746332,-1.21346786337613,0.224950993901195
"Runoff occurrence","Post-growing season","(Intercept)",-4.59443754972124,1.47610454077862,-3.11254211527441,0.00185483546982466
"Runoff occurrence","Post-growing season","log_I30",1.17556876063326,0.615659569773811,1.90944609382935,0.0562045694262715
"Runoff occurrence","Post-growing season","log_Dur",-0.133499577781125,0.537515904339147,-0.24836395854232,0.803852816985777
"Runoff occurrence","Post-growing season","log_ARFdays7",0.675721180268245,0.433802821290739,1.55766893875356,0.119311747283354
"Runoff occurrence","Post-growing season","Tillage_Passes",-0.262501561780027,0.629310481094757,-0.41712567908193,0.67658648302704
"Runoff occurrence","Post-growing season","PerennialFrac",0.560341848659011,0.787346129214873,0.711684261682691,0.476660315597668
"Runoff occurrence","Post-growing season","Residue_Frac",0.991888926857861,0.942864481418843,1.05199521925489,0.292801743036581
"Runoff occurrence","Post-growing season","MeanSlope_per",-2.92702010644987,1.45015698210438,-2.01841603534699,0.0435479507395532
"Runoff occurrence","Post-growing season","Hydrologic_GroupModerate-infiltration",2.61307431911524,1.56059841159164,1.67440534330045,0.0940509633940749
"Runoff occurrence","Post-growing season","Hydrologic_GroupHigh-infiltration",-4.5843030904697,2.86363740408951,-1.60086716423069,0.109406343656256
"Runoff occurrence","Post-growing season","TileYes",-2.57785996404116,1.69303465612114,-1.52262681376365,0.127852097446864
"Runoff coefficient","Pre-growing season","(Intercept)",-0.536520974061456,0.330925915149666,-1.62127216243795,
"Runoff coefficient","Pre-growing season","log_I30",-0.39123785829358,0.100705401603312,-3.88497391465357,
"Runoff coefficient","Pre-growing season","log_Dur",0.536626480231251,0.101720817367805,5.27548336827553,
"Runoff coefficient","Pre-growing season","log_ARFdays7",0.0559126693754009,0.101614806681807,0.550241359514505,
"Runoff coefficient","Pre-growing season","Tillage_Passes",-0.0668790377271541,0.112341024414527,-0.595321594009834,
"Runoff coefficient","Pre-growing season","PerennialFrac",-0.162914608025504,0.149856116495203,-1.08714019711514,
"Runoff coefficient","Pre-growing season","Residue_Frac",0.220494969633446,0.13793042987676,1.59859553711575,
"Runoff coefficient","Pre-growing season","MeanSlope_per",0.158926126009007,0.112675566706001,1.41047549752898,
"Runoff coefficient","Pre-growing season","Hydrologic_GroupModerate-infiltration",-0.149721945812915,0.343212484940372,-0.436236886425989,
"Runoff coefficient","Pre-growing season","Hydrologic_GroupHigh-infiltration",-0.310342751653709,0.35926921030265,-0.863816722263159,
"Runoff coefficient","Pre-growing season","TileYes",-0.360871388396775,0.314431629269471,-1.14769429918739,
"Runoff coefficient","Post-growing season","(Intercept)",-2.7939780004214,1.6965616955362,-1.64684727220507,
"Runoff coefficient","Post-growing season","log_I30",0.546614095364141,0.461941644228275,1.18329685620209,
"Runoff coefficient","Post-growing season","log_Dur",0.217970605342742,0.411519017007383,0.529673226107145,
"Runoff coefficient","Post-growing season","log_ARFdays7",-1.23453825163582,0.402153308532517,-3.06981995533177,
"Runoff coefficient","Post-growing season","Tillage_Passes",-0.223742681605544,0.429820499179015,-0.520549117673324,
"Runoff coefficient","Post-growing season","PerennialFrac",0.836219540436994,0.535823333965026,1.56062546632502,
"Runoff coefficient","Post-growing season","Residue_Frac",-0.435626628318712,0.506251043143881,-0.860495270515231,
"Runoff coefficient","Post-growing season","MeanSlope_per",0.777213206754006,0.766554750295318,1.01390436424089,
"Runoff coefficient","Post-growing season","Hydrologic_GroupHigh-infiltration",0.148581794832181,2.10607190986192,0.0705492505438347,
"Runoff coefficient","Post-growing season","TileYes",1.37464423005342,1.84501073641259,0.74506028768497,
