"Season","Rep","n","Dropped","Variable_Group","AIC_Dropped","AIC_Full","Delta_AIC","Chisq","P_Value"
"Spring",1,114,"Tillage_Passes","Agricultural",470.208204502065,467.189864613221,3.0183398888442,5.0183398888442,0.0250802033801937
"Spring",1,114,"PerennialFrac","Agricultural",465.192687804954,467.189864613221,-1.99717680826711,0.0028231917328867,0.957625368224821
"Spring",1,114,"Residue_Frac","Agricultural",465.714404888209,467.189864613221,-1.47545972501257,0.52454027498743,0.46891132966766
"Spring",1,114,"MeanSlope_per","Site",466.644778994329,467.189864613221,-0.545085618891846,1.45491438110815,0.227741032529388
"Spring",1,114,"Hydrologic_Group","Site",468.301778056735,467.189864613221,1.11191344351386,5.11191344351386,0.0776179377636945
"Spring",1,114,"Tile","Site",465.383240261485,467.189864613221,-1.80662435173633,0.193375648263668,0.660121820275336
"Spring",2,114,"Tillage_Passes","Agricultural",474.058764145379,473.965061261789,0.0937028835904243,2.09370288359042,0.14790719370665
"Spring",2,114,"PerennialFrac","Agricultural",473.136659817635,473.965061261789,-0.82840144415411,1.17159855584589,0.279073023654221
"Spring",2,114,"Residue_Frac","Agricultural",472.243342821355,473.965061261789,-1.72171844043362,0.278281559566381,0.597829761722052
"Spring",2,114,"MeanSlope_per","Site",474.515406199844,473.965061261789,0.550344938055332,2.55034493805533,0.110270178182861
"Spring",2,114,"Hydrologic_Group","Site",473.798656663165,473.965061261789,-0.166404598624069,3.83359540137593,0.147077194014097
"Spring",2,114,"Tile","Site",472.867457229751,473.965061261789,-1.09760403203768,0.90239596796232,0.342140075491151
"Spring",3,114,"Tillage_Passes","Agricultural",430.481653118138,429.069420990386,1.41223212775174,3.41223212775174,0.0647148540986686
"Spring",3,114,"PerennialFrac","Agricultural",427.455963240079,429.069420990386,-1.61345775030685,0.38654224969315,0.534122564971853
"Spring",3,114,"Residue_Frac","Agricultural",427.377358613082,429.069420990386,-1.69206237730373,0.307937622696272,0.578948508401999
"Spring",3,114,"MeanSlope_per","Site",427.786149433976,429.069420990386,-1.28327155641028,0.716728443589716,0.397219140178703
"Spring",3,114,"Hydrologic_Group","Site",441.93837184274,429.069420990386,12.8689508523541,16.8689508523541,0.000217247038390352
"Spring",3,114,"Tile","Site",429.423844631961,429.069420990386,0.354423641575181,2.35442364157518,0.124928050432101
"Spring",4,114,"Tillage_Passes","Agricultural",422.21521114103,419.95038998301,2.26482115802054,4.26482115802054,0.038909344819535
"Spring",4,114,"PerennialFrac","Agricultural",420.881056537578,419.95038998301,0.930666554568234,2.93066655456823,0.0869116025202212
"Spring",4,114,"Residue_Frac","Agricultural",425.243761617859,419.95038998301,5.29337163484917,7.29337163484917,0.00692094689109575
"Spring",4,114,"MeanSlope_per","Site",421.612782738715,419.95038998301,1.66239275570479,3.66239275570479,0.0556536536191583
"Spring",4,114,"Hydrologic_Group","Site",448.467303831399,419.95038998301,28.5169138483895,32.5169138483895,8.69044216262235e-08
"Spring",4,114,"Tile","Site",422.861500827254,419.95038998301,2.91111084424421,4.91111084424421,0.0266844745249938
"Spring",5,114,"Tillage_Passes","Agricultural",449.442782718955,447.612513524948,1.83026919400771,3.83026919400771,0.0503348480344355
"Spring",5,114,"PerennialFrac","Agricultural",446.630859857304,447.612513524948,-0.981653667643798,1.0183463323562,0.312911585138316
"Spring",5,114,"Residue_Frac","Agricultural",445.785863340701,447.612513524948,-1.82665018424672,0.173349815753284,0.677151719477162
"Spring",5,114,"MeanSlope_per","Site",446.777286849859,447.612513524948,-0.835226675088222,1.16477332491178,0.280477790050181
"Spring",5,114,"Hydrologic_Group","Site",468.279449272222,447.612513524948,20.6669357472744,24.6669357472744,4.40192825336746e-06
